country_code year quarter vessel_length fishing_tech gear_type target_assemblage mesh_size_range metier supra_region sub_region eez_indicator geo_indicator specon_tech deep rectangle_type rectangle_lat rectangle_lon c_square totfishdays confidential
146 NIR 2018 4 VL1218 DRB DRB MOL NA DRB_MOL_>=0_0_0 NAO 27.7.D NA NGI NK NA 05*1 50.75 0.5 NA 3 N
147 NIR 2018 4 VL1218 DRB DRB MOL NA DRB_MOL_0_0_0 NAO 27.6.A NA NGI NK NA 05*1 55.25 -6.5 NA 2.6666666667 N
148 NIR 2018 4 VL1218 DRB DRB MOL NA DRB_MOL_0_0_0 NAO 27.6.A NA NGI NK NA 05*1 55.75 -6.5 NA 5.3333333333 N
149 NIR 2018 4 VL1218 DRB DRB MOL NA DRB_MOL_0_0_0 NAO 27.7.A NA NGI NK NA 05*1 52.25 -5.5 NA 1 N
150 NIR 2018 4 VL1218 DRB DRB MOL NA DRB_MOL_0_0_0 NAO 27.7.A NA NGI NK NA 05*1 52.25 -4.5 NA 2 N
151 NIR 2018 4 VL1218 DRB DRB MOL NA DRB_MOL_0_0_0 NAO 27.7.A NA NGI NK NA 05*1 53.25 -4.5 NA 1 N
152 NIR 2018 4 VL1218 DRB DRB MOL NA DRB_MOL_0_0_0 NAO 27.7.A NA NGI NK NA 05*1 53.75 -5.5 NA 1 N
153 NIR 2018 4 VL1218 DRB DRB MOL NA DRB_MOL_0_0_0 NAO 27.7.A NA NGI NK NA 05*1 53.75 -4.5 NA 8 N
154 NIR 2018 4 VL1218 DRB DRB MOL NA DRB_MOL_0_0_0 NAO 27.7.A NA NGI NK NA 05*1 54.25 -5.5 NA 8 N
155 NIR 2018 4 VL1218 DRB DRB MOL NA DRB_MOL_0_0_0 NAO 27.7.A NA NGI NK NA 05*1 54.25 -4.5 NA 58.6666666667 N
156 NIR 2018 4 VL1218 DRB DRB MOL NA DRB_MOL_0_0_0 NAO 27.7.A NA NGI NK NA 05*1 54.75 -5.5 NA 79.8333333333 N
157 NIR 2018 4 VL1218 DRB DRB MOL NA DRB_MOL_0_0_0 NAO 27.7.A NA NGI NK NA 05*1 54.75 -4.5 NA 2.5 N
158 NIR 2018 4 VL1218 DTS DRB MOL NA DRB_MOL_0_0_0 NAO 27.7.A NA NGI NK NA 05*1 53.75 -4.5 NA 9 N
